factor,level,strategy,n,deadline_rate,delivery_ratio
offered_load_factor,0.75,deadline-aware,24,0.7916666666666666,0.7916666666666666
offered_load_factor,0.75,earliest-arrival,24,0.7916666666666666,0.8125
offered_load_factor,0.75,next-contact,24,0.7916666666666666,0.8125
offered_load_factor,1.0,deadline-aware,24,0.625,0.625
offered_load_factor,1.0,earliest-arrival,24,0.625,0.75
offered_load_factor,1.0,next-contact,24,0.625,0.75
offered_load_factor,1.25,deadline-aware,24,0.625,0.625
offered_load_factor,1.25,earliest-arrival,24,0.625,0.6875
offered_load_factor,1.25,next-contact,24,0.625,0.6875
deadline_factor,0.75,deadline-aware,24,0.6666666666666666,0.6666666666666666
deadline_factor,0.75,earliest-arrival,24,0.6666666666666666,0.75
deadline_factor,0.75,next-contact,24,0.6666666666666666,0.75
deadline_factor,1.0,deadline-aware,24,0.6875,0.6875
deadline_factor,1.0,earliest-arrival,24,0.6875,0.75
deadline_factor,1.0,next-contact,24,0.6875,0.75
deadline_factor,1.5,deadline-aware,24,0.6875,0.6875
deadline_factor,1.5,earliest-arrival,24,0.6875,0.75
deadline_factor,1.5,next-contact,24,0.6875,0.75
backhaul_factor,0.5,deadline-aware,36,0.6805555555555556,0.6805555555555556
backhaul_factor,0.5,earliest-arrival,36,0.6805555555555556,0.75
backhaul_factor,0.5,next-contact,36,0.6805555555555556,0.75
backhaul_factor,1.5,deadline-aware,36,0.6805555555555556,0.6805555555555556
backhaul_factor,1.5,earliest-arrival,36,0.6805555555555556,0.75
backhaul_factor,1.5,next-contact,36,0.6805555555555556,0.75
minimum_elevation_deg,10.0,deadline-aware,36,0.6944444444444444,0.6944444444444444
minimum_elevation_deg,10.0,earliest-arrival,36,0.6944444444444444,0.7916666666666666
minimum_elevation_deg,10.0,next-contact,36,0.6944444444444444,0.7916666666666666
minimum_elevation_deg,20.0,deadline-aware,36,0.6666666666666666,0.6666666666666666
minimum_elevation_deg,20.0,earliest-arrival,36,0.6666666666666666,0.7083333333333334
minimum_elevation_deg,20.0,next-contact,36,0.6666666666666666,0.7083333333333334
rf_efficiency_factor,0.75,deadline-aware,36,0.5833333333333334,0.5833333333333334
rf_efficiency_factor,0.75,earliest-arrival,36,0.5833333333333334,0.7083333333333334
rf_efficiency_factor,0.75,next-contact,36,0.5833333333333334,0.7083333333333334
rf_efficiency_factor,1.25,deadline-aware,36,0.7777777777777778,0.7777777777777778
rf_efficiency_factor,1.25,earliest-arrival,36,0.7777777777777778,0.7916666666666666
rf_efficiency_factor,1.25,next-contact,36,0.7777777777777778,0.7916666666666666
