baseline,candidate,factor,level,matched_conditions,deadline_delta_mean_pp,delivery_delta_mean_pp,conditions_with_common_items,condition_weighted_common_latency_delta_s
next-contact,earliest-arrival,offered_load_factor,0.75,24,0.0,0.0,24,-31.455152341188438
next-contact,earliest-arrival,offered_load_factor,1.0,24,0.0,0.0,24,-8.340136098176865
next-contact,earliest-arrival,offered_load_factor,1.25,24,0.0,0.0,24,-6.2901920470609864
next-contact,earliest-arrival,deadline_factor,0.75,24,0.0,0.0,24,-15.361826828808761
next-contact,earliest-arrival,deadline_factor,1.0,24,0.0,0.0,24,-15.361826828808761
next-contact,earliest-arrival,deadline_factor,1.5,24,0.0,0.0,24,-15.361826828808761
next-contact,earliest-arrival,backhaul_factor,0.5,36,0.0,0.0,36,-8.809495666894879
next-contact,earliest-arrival,backhaul_factor,1.5,36,0.0,0.0,36,-21.914157990722643
next-contact,earliest-arrival,minimum_elevation_deg,10.0,36,0.0,0.0,36,-21.567119885036043
next-contact,earliest-arrival,minimum_elevation_deg,20.0,36,0.0,0.0,36,-9.156533772581481
next-contact,earliest-arrival,rf_efficiency_factor,0.75,36,0.0,0.0,36,-5.308028542289308
next-contact,earliest-arrival,rf_efficiency_factor,1.25,36,0.0,0.0,36,-25.415625115328208
next-contact,deadline-aware,offered_load_factor,0.75,24,0.0,-2.0833333333333335,24,-33.92828752267215
next-contact,deadline-aware,offered_load_factor,1.0,24,0.0,-12.5,24,-6.668285331803863
next-contact,deadline-aware,offered_load_factor,1.25,24,0.0,-6.25,24,-6.2901920470609864
next-contact,deadline-aware,deadline_factor,0.75,24,0.0,-8.333333333333334,24,-17.277678421501474
next-contact,deadline-aware,deadline_factor,1.0,24,0.0,-6.25,24,-14.80454324001776
next-contact,deadline-aware,deadline_factor,1.5,24,0.0,-6.25,24,-14.80454324001776
next-contact,deadline-aware,backhaul_factor,0.5,36,0.0,-6.944444444444445,36,-9.582076539258985
next-contact,deadline-aware,backhaul_factor,1.5,36,0.0,-6.944444444444445,36,-21.675766728432343
next-contact,deadline-aware,minimum_elevation_deg,10.0,36,0.0,-9.722222222222221,36,-22.10130949510985
next-contact,deadline-aware,minimum_elevation_deg,20.0,36,0.0,-4.166666666666667,36,-9.156533772581481
next-contact,deadline-aware,rf_efficiency_factor,0.75,36,0.0,-12.5,36,-4.193461364707306
next-contact,deadline-aware,rf_efficiency_factor,1.25,36,0.0,-1.3888888888888888,36,-27.06438190298402
earliest-arrival,deadline-aware,offered_load_factor,0.75,24,0.0,-2.0833333333333335,24,0.0
earliest-arrival,deadline-aware,offered_load_factor,1.0,24,0.0,-12.5,24,0.0
earliest-arrival,deadline-aware,offered_load_factor,1.25,24,0.0,-6.25,24,0.0
earliest-arrival,deadline-aware,deadline_factor,0.75,24,0.0,-8.333333333333334,24,0.0
earliest-arrival,deadline-aware,deadline_factor,1.0,24,0.0,-6.25,24,0.0
earliest-arrival,deadline-aware,deadline_factor,1.5,24,0.0,-6.25,24,0.0
earliest-arrival,deadline-aware,backhaul_factor,0.5,36,0.0,-6.944444444444445,36,0.0
earliest-arrival,deadline-aware,backhaul_factor,1.5,36,0.0,-6.944444444444445,36,0.0
earliest-arrival,deadline-aware,minimum_elevation_deg,10.0,36,0.0,-9.722222222222221,36,0.0
earliest-arrival,deadline-aware,minimum_elevation_deg,20.0,36,0.0,-4.166666666666667,36,0.0
earliest-arrival,deadline-aware,rf_efficiency_factor,0.75,36,0.0,-12.5,36,0.0
earliest-arrival,deadline-aware,rf_efficiency_factor,1.25,36,0.0,-1.3888888888888888,36,0.0
