config_id,project_version,routing_strategy,scheduler,time_step_s,offered_load_factor,deadline_factor,backhaul_factor,minimum_elevation_deg,rf_efficiency_factor,total_items,delivered_count,failed_count,deadline_met_items,deadline_missed_items,deadline_satisfaction_rate,critical_deadline_satisfaction_rate,delivery_ratio,average_end_to_end_latency_s,maximum_end_to_end_latency_s,contact_capacity_bits,transferred_bits,contact_utilization,selected_gs_sapporo_count,selected_gs_seoul_count,selected_gs_tokyo_count,failure_no_contact_count,failure_insufficient_capacity_count,failure_deadline_infeasible_count,failure_outside_simulation_horizon_count
canonical-contact-plan-routing-v1.1,1.1.0,next-contact,edf,1.0,0.75,0.75,0.5,10.0,0.75,4,3,1,3,1,0.75,1.0,0.75,435.3712024072199,456.8763583731704,122726121.12361106,33600000.0,0.2737803467784802,2,0,1,0,1,0,0
canonical-contact-plan-routing-v1.1,1.1.0,earliest-arrival,edf,1.0,0.75,0.75,0.5,10.0,0.75,4,3,1,3,1,0.75,1.0,0.75,433.99091548872474,456.8763583731704,122726121.12361106,33600000.0,0.2737803467784802,1,0,2,0,1,0,0
canonical-contact-plan-routing-v1.1,1.1.0,deadline-aware,edf,1.0,0.75,0.75,0.5,10.0,0.75,4,3,1,3,1,0.75,1.0,0.75,433.99091548872474,456.8763583731704,122726121.12361106,33600000.0,0.2737803467784802,1,0,2,0,1,0,0
canonical-contact-plan-routing-v1.1,1.1.0,next-contact,edf,1.0,0.75,1.0,0.5,10.0,0.75,4,3,1,3,1,0.75,1.0,0.75,435.3712024072199,456.8763583731704,122726121.12361106,33600000.0,0.2737803467784802,2,0,1,0,1,0,0
canonical-contact-plan-routing-v1.1,1.1.0,earliest-arrival,edf,1.0,0.75,1.0,0.5,10.0,0.75,4,3,1,3,1,0.75,1.0,0.75,433.99091548872474,456.8763583731704,122726121.12361106,33600000.0,0.2737803467784802,1,0,2,0,1,0,0
canonical-contact-plan-routing-v1.1,1.1.0,deadline-aware,edf,1.0,0.75,1.0,0.5,10.0,0.75,4,3,1,3,1,0.75,1.0,0.75,433.99091548872474,456.8763583731704,122726121.12361106,33600000.0,0.2737803467784802,1,0,2,0,1,0,0
canonical-contact-plan-routing-v1.1,1.1.0,next-contact,edf,1.0,0.75,1.5,0.5,10.0,0.75,4,3,1,3,1,0.75,1.0,0.75,435.3712024072199,456.8763583731704,122726121.12361106,33600000.0,0.2737803467784802,2,0,1,0,1,0,0
canonical-contact-plan-routing-v1.1,1.1.0,earliest-arrival,edf,1.0,0.75,1.5,0.5,10.0,0.75,4,3,1,3,1,0.75,1.0,0.75,433.99091548872474,456.8763583731704,122726121.12361106,33600000.0,0.2737803467784802,1,0,2,0,1,0,0
canonical-contact-plan-routing-v1.1,1.1.0,deadline-aware,edf,1.0,0.75,1.5,0.5,10.0,0.75,4,3,1,3,1,0.75,1.0,0.75,433.99091548872474,456.8763583731704,122726121.12361106,33600000.0,0.2737803467784802,1,0,2,0,1,0,0
canonical-contact-plan-routing-v1.1,1.1.0,next-contact,edf,1.0,1.0,0.75,0.5,10.0,0.75,4,3,1,2,2,0.5,1.0,0.75,2366.22837872728,6154.558175353722,122726121.12361106,44800000.0,0.36504046237130694,1,1,1,0,1,0,0
canonical-contact-plan-routing-v1.1,1.1.0,earliest-arrival,edf,1.0,1.0,0.75,0.5,10.0,0.75,4,3,1,2,2,0.5,1.0,0.75,2366.22837872728,6154.558175353722,122726121.12361106,44800000.0,0.36504046237130694,1,1,1,0,1,0,0
